iter	RMSE
0	0.2232626741
1	0.2232576245
2	0.2232521053
3	0.2232463594
4	0.223241419
5	0.2232353509
6	0.2232299728
7	0.2232254879
8	0.2232206817
9	0.2232169965
10	0.2232122188
11	0.2232082226
12	0.2232043406
13	0.2231999482
14	0.2231959261
15	0.2231918327
16	0.223187625
17	0.2231843947
18	0.2231807298
19	0.2231772416
20	0.2231736276
21	0.2231704787
22	0.2231673397
23	0.2231636804
24	0.223160007
25	0.223155776
26	0.2231521216
27	0.22314838
28	0.2231454493
29	0.2231432106
30	0.2231404614
31	0.2231374145
32	0.2231338951
33	0.2231307678
34	0.2231284565
35	0.2231254164
36	0.2231232195
37	0.2231198271
38	0.2231166834
39	0.2231140818
40	0.2231111292
41	0.2231084064
42	0.223106333
43	0.2231029125
44	0.2231003909
45	0.2230973328
46	0.2230948683
47	0.2230926025
48	0.2230900578
49	0.2230872494
50	0.2230843592
51	0.2230816667
52	0.2230793869
53	0.2230768624
54	0.2230744925
55	0.2230718486
56	0.2230692979
57	0.2230676086
58	0.2230658881
59	0.2230631901
60	0.2230603254
61	0.2230584839
62	0.223056295
63	0.2230531465
64	0.2230511904
65	0.2230491709
66	0.2230466524
67	0.2230451904
68	0.2230431043
69	0.223041233
70	0.2230390264
71	0.2230367909
72	0.2230344975
73	0.2230328335
74	0.2230299531
75	0.2230276255
76	0.2230257445
77	0.2230235921
78	0.2230220339
79	0.223020018
80	0.2230177207
81	0.2230157462
82	0.2230135005
83	0.2230115509
84	0.2230096573
85	0.2230081667
86	0.2230064676
87	0.2230040282
88	0.2230016508
89	0.2229990955
90	0.2229968641
91	0.2229950901
92	0.222993184
93	0.2229917115
94	0.2229903312
95	0.2229880217
96	0.2229860292
97	0.2229844837
98	0.2229831178
99	0.222981228
100	0.2229787844
101	0.2229767462
102	0.2229751079
103	0.2229727256
104	0.2229706523
105	0.2229686694
106	0.2229670383
107	0.2229656647
108	0.2229639429
109	0.2229618187
110	0.2229599212
111	0.2229568944
112	0.2229551624
113	0.222953176
114	0.2229516939
115	0.2229499716
116	0.2229482602
117	0.2229453238
118	0.2229440059
119	0.2229416564
120	0.2229398997
121	0.222937585
122	0.2229351175
123	0.2229326676
124	0.2229309547
125	0.2229287796
126	0.2229270856
127	0.2229253924
128	0.2229235969
129	0.222922325
130	0.2229206023
131	0.2229184204
132	0.2229170333
133	0.2229156518
134	0.2229136194
135	0.2229118668
136	0.2229100028
137	0.2229075852
138	0.2229061147
139	0.2229043245
140	0.2229025514
141	0.222901275
142	0.2228996233
143	0.2228981384
144	0.2228963377
145	0.2228946915
146	0.2228929922
147	0.2228914917
148	0.2228895278
149	0.2228881363
150	0.2228863127
151	0.2228843339
152	0.2228822613
153	0.2228800411
154	0.222878599
155	0.2228773215
156	0.2228755289
157	0.222874002
158	0.2228727423
159	0.2228708148
160	0.2228691792
161	0.2228675306
162	0.2228659342
163	0.2228641141
164	0.2228623696
165	0.2228610485
166	0.2228594665
167	0.2228580731
168	0.2228568097
169	0.2228554417
170	0.2228533033
171	0.2228513066
172	0.2228493757
173	0.2228477503
174	0.2228460642
175	0.2228440719
176	0.2228423148
177	0.2228406322
178	0.2228392564
179	0.2228378746
180	0.2228355367
181	0.2228338437
182	0.2228327055
183	0.2228301529
184	0.2228287542
185	0.2228272974
186	0.2228258039
187	0.2228237939
188	0.2228219499
189	0.2228204417
190	0.2228185098
191	0.2228171149
192	0.22281549
193	0.2228140222
194	0.2228121176
195	0.2228106669
196	0.2228093245
197	0.2228078638
198	0.2228063744
199	0.2228048641
200	0.2228038081
201	0.2228026819
202	0.222801019
203	0.2227997529
204	0.2227983931
205	0.2227968172
206	0.2227953349
207	0.2227935496
208	0.2227919442
209	0.2227903536
210	0.2227888919
211	0.2227875027
212	0.2227857064
213	0.222784726
214	0.2227831366
215	0.2227821157
216	0.2227800761
217	0.2227790036
218	0.2227766974
219	0.2227747601
220	0.222772635
221	0.2227708962
222	0.2227694256
223	0.2227681314
224	0.2227666827
225	0.222765235
226	0.222763317
227	0.2227624328
228	0.2227611048
229	0.2227594759
230	0.2227580681
231	0.2227566058
232	0.2227552891
233	0.2227540102
234	0.2227529499
235	0.2227516495
236	0.2227496601
237	0.2227486489
238	0.2227467551
239	0.2227454033
240	0.2227437895
241	0.2227422047
242	0.2227408041
243	0.2227393212
244	0.2227375077
245	0.2227354013
246	0.2227336799
247	0.222732429
248	0.2227310503
249	0.2227298874
