iter	Passed	Remaining
0	494	2470242
1	1042	2605341
2	1722	2869124
3	2481	3099524
4	3072	3069833
5	3718	3095092
6	4416	3150051
7	5182	3234017
8	5877	3259233
9	6480	3234010
10	7171	3252394
11	7878	3274664
12	8581	3292118
13	9191	3273329
14	9874	3281709
15	10527	3279326
16	11152	3268935
17	11891	3291315
18	12593	3301378
19	13340	3321874
20	13896	3294897
21	14604	3304700
22	15363	3324629
23	16004	3318309
24	16632	3309808
25	17343	3317852
26	17936	3303685
27	18665	3314401
28	19204	3291844
29	19856	3289532
30	20514	3288261
31	21196	3290811
32	21801	3281483
33	22403	3272211
34	23010	3264270
35	23619	3256809
36	24190	3244828
37	24823	3241437
38	25505	3244492
39	26209	3249916
40	26911	3255032
41	27602	3258464
42	28404	3274416
43	29056	3272790
44	29600	3259346
45	30239	3256698
46	30903	3256691
47	31526	3252469
48	32154	3248901
49	32716	3238915
50	33315	3232894
51	33905	3226218
52	34552	3225106
53	35293	3232577
54	35873	3225316
55	36591	3230503
56	37232	3228770
57	37909	3230126
58	38452	3220260
59	39105	3219726
60	39793	3221946
61	40586	3232506
62	41352	3240623
63	42030	3241596
64	42724	3243788
65	43341	3240140
66	43952	3236063
67	44573	3232876
